130611110 || 社會 || 2013/06/11 10:41 || 9999 || 192.168.0.200/01NEWS/20130611/s130611110.mp4 || 埔基醫院火災警鈴響 護理站人竟跑光 || 中視 ||
130611111 || 影劇 || 2013/06/11 10:41 || 9999 || 192.168.0.200/01NEWS/20130611/s130611111.mp4 || 惡整身障歌手 澎恰恰舜子雞蛋麵粉砸頭 || 中視 ||
130611112 || 社會 || 2013/06/11 10:41 || 9999 || 192.168.0.200/01NEWS/20130611/s130611112.mp4 || 單親家庭投訴孩子遭霸凌 學校竟置若罔聞 || 中視 ||
130611113 || 社會 || 2013/06/11 10:47 || 9999 || 192.168.0.200/01NEWS/20130611/s130611113.mp4 || 桃園頂好超市 蛋炒飯逾期4個月照賣! || 中視 ||
130611114 || 財經 || 2013/06/11 10:47 || 9999 || 192.168.0.200/01NEWS/20130611/s130611114.mp4 || 景氣悶 股利. 股東會贈品都縮水 || 中視 ||
130611115 || 社會 || 2013/06/11 10:47 || 9999 || 192.168.0.200/01NEWS/20130611/s130611115.mp4 || 積沙成塔!檳榔攤代換股東商品 月賺3萬 || 中視 ||
130611116 || 旅遊 || 2013/06/11 11:10 || 9999 || 192.168.0.200/01NEWS/20130611/s130611116.mp4 || 砸3千萬打造 全台首座冰淇淋觀光工廠 || 中視 ||
130611117 || 社會 || 2013/06/11 11:10 || 9999 || 192.168.0.200/01NEWS/20130611/s130611117.mp4 || 4外拍辣模告攝影師 毛手毛腳涉猥褻 || 中視 ||
130611118 || 消費 || 2013/06/11 11:10 || 9999 || 192.168.0.200/01NEWS/20130611/s130611118.mp4 || 毒澱粉中箭 小南門持發票可全額退費 || 中視 ||
130611119 || 社會 || 2013/06/11 11:14 || 9999 || 192.168.0.200/01NEWS/20130611/s130611119.mp4 || 氣溫又飆 台南2天8人心肌梗塞猝死 || 中視 ||
130611120 || 生活 || 2013/06/11 11:14 || 9999 || 192.168.0.200/01NEWS/20130611/s130611120.mp4 || 優酪乳美白 粗鹽去角質 小心傷臉 || 中視 ||
130611121 || 旅遊 || 2013/06/11 11:14 || 9999 || 192.168.0.200/01NEWS/20130611/s130611121.mp4 || 台北兒童新樂園 水果摩天輪轉動夢想 || 中視 ||
130611122 || 社會 || 2013/06/11 11:16 || 9999 || 192.168.0.200/01NEWS/20130611/s130611122.mp4 || 金門機場草率施工 膠帶. 夾板黏天花板 || 中視 ||
130611123 || 社會 || 2013/06/11 13:36 || 9999 || 192.168.0.200/01NEWS/20130611/s130611123.mp4 || 125C.C. 機車闖雪隧 不理3警車4度攔檢 || 中視 ||
130611124 || 社會 || 2013/06/11 13:38 || 9999 || 192.168.0.200/01NEWS/20130611/s130611124.mp4 || 暗夜惡火屋主跳樓逃生 妻嗆傷. 女不治 || 中視 ||
130611126 || 社會 || 2013/06/11 14:03 || 9999 || 192.168.0.200/01NEWS/20130611/s130611126.mp4 || 小情侶縱火燒家私奔 害父重傷嘉義投案 || 中視 ||
130611127 || 社會 || 2013/06/11 14:05 || 9999 || 192.168.0.200/01NEWS/20130611/s130611127.mp4 || 花5萬豐胸食品疑被騙 被害女露乳揭發 || 中視 ||
130611128 || 社會 || 2013/06/11 14:09 || 9999 || 192.168.0.200/01NEWS/20130611/s130611128.mp4 || "流鶯狼"審理期間2度犯案 判25年定讞 || 中視 ||
130611129 || 社會 || 2013/06/11 14:09 || 9999 || 192.168.0.200/01NEWS/20130611/s130611129.mp4 || 覬覦"老人互助會" 年吸2千人牟暴利 || 中視 ||
130611130 || 社會 || 2013/06/11 14:09 || 9999 || 192.168.0.200/01NEWS/20130611/s130611130.mp4 || 水上"鋼鐵人"禁玩! 墾管處將取締開罰 || 中視 ||
130611131 || 生活 || 2013/06/11 14:29 || 9999 || 192.168.0.200/01NEWS/20130611/s130611131.mp4 || 趕裝ETC感應架 6/13封閉國1機場系統 || 中視 ||
130611132 || 消費 || 2013/06/11 14:29 || 9999 || 192.168.0.200/01NEWS/20130611/s130611132.mp4 || 不換ETAG OBU購機費不能直接退費 || 中視 ||
130611133 || 生活 || 2013/06/11 14:29 || 9999 || 192.168.0.200/01NEWS/20130611/s130611133.mp4 || 重複性使用塑膠碗盤碟 須標示耐熱度 || 中視 ||
130611134 || 社會 || 2013/06/11 14:38 || 9999 || 192.168.0.200/01NEWS/20130611/s130611134.mp4 || 王永慶在港1200億遺產 王文洋接管 || 中視 ||
130611135 || 社會 || 2013/06/11 14:38 || 9999 || 192.168.0.200/01NEWS/20130611/s130611135.mp4 || 八年級販毒集團滲透校園 主謀僅21歲 || 中視 ||
130611136 || 社會 || 2013/06/11 14:38 || 9999 || 192.168.0.200/01NEWS/20130611/s130611136.mp4 || 百公斤巨石掉國道 3車煞不住全撞上 || 中視 ||
130611137 || 社會 || 2013/06/11 14:52 || 9999 || 192.168.0.200/01NEWS/20130611/s130611137.mp4 || 辱罵台東人 女檢遭懲戒休職停薪1年 || 中視 ||
130611138 || 社會 || 2013/06/11 14:52 || 9999 || 192.168.0.200/01NEWS/20130611/s130611138.mp4 || 愛犬遭毒死 美女扮柯南錄影蒐證緝兇 || 中視 ||
130611139 || 科技 || 2013/06/11 14:52 || 9999 || 192.168.0.200/01NEWS/20130611/s130611139.mp4 || GOOGLE最新攝影裝置 "街景背包"將登台 || 中視 ||
130611140 || 社會 || 2013/06/11 15:04 || 9999 || 192.168.0.200/01NEWS/20130611/s130611140.mp4 || 上下車須兩段式開車門 駕照路考7/1納入 || 中視 ||
130611141 || 科技 || 2013/06/11 15:04 || 9999 || 192.168.0.200/01NEWS/20130611/s130611141.mp4 || 試管求孕植入多胚胎 母嬰風險倍增 || 中視 ||
130611142 || 旅遊 || 2013/06/11 15:04 || 9999 || 192.168.0.200/01NEWS/20130611/s130611142.mp4 || 付6000玩迪士尼免排隊? 美遊樂園亂象 || 中視 ||
